   111/299      2.3G   0.02733   0.02115         0   0.04848        19       640    0.9101    0.8639    0.9535    0.6937   0.03894   0.05792         0
   112/299      2.3G     0.028   0.02091         0   0.04891        26       640    0.8686     0.924    0.9555    0.6866   0.03932   0.05882         0
   113/299      2.3G   0.02771   0.02172         0   0.04943        30       640    0.9064    0.8787    0.9559    0.7017   0.03888   0.05833         0
   114/299      2.3G   0.02796   0.02122         0   0.04918        37       640    0.8897    0.8502    0.9379    0.6778   0.03891   0.05888         0
   115/299      2.3G   0.02818   0.02162         0   0.04979        22       640    0.8713    0.9134    0.9531    0.6933   0.03839   0.05824         0
   116/299      2.3G   0.02737   0.02117         0   0.04854        30       640    0.9004    0.8605    0.9443    0.6885   0.03863   0.05961         0
   117/299      2.3G   0.02784   0.02028         0   0.04812        16       640    0.8593    0.9206    0.9579    0.7025   0.03848   0.05985         0
   118/299      2.3G    0.0272   0.02041         0   0.04761        29       640     0.892    0.9048    0.9595    0.6965   0.03875   0.05849         0
   119/299      2.3G   0.02785   0.02091         0   0.04875        29       640    0.8526    0.9388    0.9594    0.7013   0.03886   0.05928         0
   120/299      2.3G   0.02763   0.02083         0   0.04846        29       640    0.8918     0.898    0.9605    0.7051   0.03862   0.05847         0
   121/299      2.3G   0.02733   0.02051         0   0.04783         7       640    0.8973    0.9036    0.9635    0.7116   0.03819   0.05823         0
   122/299      2.3G   0.02727   0.02026         0   0.04753        18       640    0.9024    0.9123    0.9677    0.7142   0.03819   0.05785         0
   123/299      2.3G   0.02766   0.02053         0   0.04818        21       640    0.8593    0.9422     0.962     0.707   0.03837   0.05791         0
   124/299      2.3G   0.02776   0.02044         0   0.04821        13       640    0.8978    0.8776    0.9511    0.7022   0.03877    0.0587         0
   125/299      2.3G   0.02724   0.02051         0   0.04776        30       640    0.8769    0.9046    0.9554    0.7057    0.0383   0.05847         0
   126/299      2.3G   0.02716    0.0207         0   0.04787        15       640    0.9144    0.8838    0.9617     0.711   0.03773   0.05903         0
   127/299      2.3G   0.02761   0.02149         0    0.0491        22       640     0.885    0.9249    0.9642    0.7152   0.03779   0.05828         0
   128/299      2.3G   0.02747   0.02002         0   0.04749        18       640    0.9194    0.8922     0.964    0.7133   0.03856   0.05846         0
   129/299      2.3G   0.02785   0.02088         0   0.04872        36       640    0.8945     0.904    0.9567    0.6997   0.03833   0.05955         0
   130/299      2.3G   0.02762   0.02027         0   0.04788        10       640    0.8978    0.8912    0.9627    0.7094   0.03833   0.05939         0
   131/299      2.3G   0.02737   0.02117         0   0.04854        30       640    0.8777    0.9286    0.9626    0.7141   0.03859   0.05901         0
   132/299      2.3G   0.02789   0.02089         0   0.04878        29       640    0.9141    0.8806    0.9612    0.7109   0.03869   0.05905         0
   133/299      2.3G    0.0271   0.02025         0   0.04734        42       640    0.9148     0.915    0.9675    0.7131   0.03847   0.05924         0
   134/299      2.3G   0.02696   0.01904         0     0.046        11       640    0.8966    0.9341    0.9654    0.7128   0.03844    0.0591         0
   135/299      2.3G   0.02732   0.02093         0   0.04824        32       640    0.8927    0.9161    0.9601    0.7126   0.03787   0.05889         0
   136/299      2.3G   0.02779    0.0208         0   0.04859        38       640    0.9135    0.8991    0.9655    0.7167   0.03807   0.05838         0
   137/299      2.3G   0.02699    0.0208         0   0.04779        10       640    0.9061     0.908    0.9616    0.7109   0.03768   0.05971         0
   138/299      2.3G    0.0266   0.01993         0   0.04653        24       640     0.895    0.9116    0.9607    0.7101   0.03769   0.05952         0
   139/299      2.3G   0.02698   0.01875         0   0.04573        27       640    0.9165    0.9104    0.9679    0.7111    0.0381   0.05803         0
   140/299      2.3G   0.02721   0.01994         0   0.04714        29       640    0.8909    0.9195    0.9657    0.7188   0.03777   0.05929         0
   141/299      2.3G   0.02713    0.0196         0   0.04673        25       640    0.9324    0.8923    0.9704    0.7197   0.03805    0.0588         0
   142/299      2.3G   0.02723   0.01966         0    0.0469        26       640     0.919    0.8749    0.9637     0.714   0.03789   0.05949         0
   143/299      2.3G   0.02705   0.02006         0   0.04711        35       640    0.9086    0.9252    0.9719    0.7236   0.03767   0.05877         0
   144/299      2.3G   0.02636   0.01991         0   0.04627        18       640    0.9068    0.9274    0.9719    0.7235   0.03761   0.05976         0
   145/299      2.3G   0.02691   0.02033         0   0.04724        27       640    0.9173    0.9206    0.9731    0.7248   0.03764   0.05918         0
   146/299      2.3G   0.02685   0.02028         0   0.04714        40       640    0.9075    0.8783    0.9571    0.7067   0.03716   0.05954         0
   147/299      2.3G   0.02617   0.01851         0   0.04468        22       640    0.9135    0.8991    0.9667    0.7189   0.03703   0.05956         0
   148/299      2.3G   0.02608    0.0198         0   0.04588        11       640    0.9261    0.9161    0.9724    0.7183   0.03757   0.05935         0
   149/299      2.3G   0.02662   0.02023         0   0.04686        38       640    0.9091    0.9183    0.9657    0.7145   0.03778   0.05862         0
   150/299      2.3G    0.0265    0.0195         0     0.046        22       640    0.9231    0.9249    0.9733    0.7252   0.03776   0.05943         0
   151/299      2.3G   0.02725   0.02012         0   0.04738        33       640    0.9126    0.8946    0.9646    0.7212   0.03702   0.05938         0
   152/299      2.3G   0.02685   0.02062         0   0.04747        43       640    0.9007    0.9274    0.9722    0.7246   0.03749   0.05926         0
   153/299      2.3G   0.02707   0.01924         0   0.04631        19       640    0.9034    0.9365    0.9749    0.7302   0.03756   0.05928         0
   154/299      2.3G   0.02576    0.0195         0   0.04526         9       640    0.9357    0.8923    0.9721    0.7319   0.03745   0.05854         0
   155/299      2.3G   0.02598   0.01781         0   0.04379        38       640    0.9254    0.9138    0.9734    0.7329    0.0375   0.05833         0
   156/299      2.3G   0.02654   0.01854         0   0.04507        10       640    0.9351    0.9161     0.978    0.7392   0.03734   0.05798         0
